Radicado,Ponente,Autoridad orden nacional,Acto demandado,Contenido acto
11001-03-15-000-2020-00944-00,Sandra Lisset Ibarra Vélez,Agencia Nacional de Infraestructura,Resolución 471 del 22 de marzo del 2020,"Resolución No.471 del 22 de marzo de 2020: “Por la cual se establece como medida transitoria la suspensión de términos en las actuaciones administrativas y contractuales que se adelantan en la Agencia Nacional de Infraestructura y se adoptan otras medidas administrativas, por motivos de salud pública”"
11001-03-15-000-2020-00945-00,Roberto Augusto Serrato Valdés,Contaduría General de la Nación,Resolución 077 del 19 de marzo del 2020,Resolución 077 del 19 de marzo del 2020: “Por medio de la cual se suspenden t6rminos de manera general en las actuaciones administrativas que deban adelantarse en la Unidad Administrativa Especial Contaduría General de la Nación - U.A.E. CGN”
11001-03-15-000-2020-00946-00,Hernando Sánchez Sánchez,Comisión de Regulación de Agua Potable y Saneamiento Básico - CRA,Resolución CRA911 del 17 de marzo del 2020,"Resolución CRA 911 de 2020: “Por la cual se establecen medidas regulatorias transitorias en el sector de agua potable y saneamiento básico, derivadas de la emergencia declarada por el Gobierno Nacional a causa del COVID-19"""
11001-03-15-000-2020-00947-00,Nubia Margoth Peña Garzón,Departamento Administrativo Nacional de Estadística - DANE,Circular 0005 del 11 de marzo del 2020,Circular 005 del 11 de marzo del 2020: “Compromiso con las acciones de contención ante el COVID-19 y la prevención de enfermedades asociadas al primer pico epidemiológico de enfermedades respiratorias”.
11001-03-15-000-2020-00948-00,Carmelo Perdomo Cuéter,Departamento Administrativo Nacional de Estadística - DANE,Circular 0007 del 17 de marzo del 2020,Circular 007 del 17 de marzo del 2020: “Lineamientos a seguir y tener en cuenta frente a la emergencia sanitaria generada por el COVID-19”.
11001-03-15-000-2020-00949-00,Rocío Araújo Oñate,Departamento Administrativo Nacional de Estadística - DANE,Circular 008 del 22 de marzo del 2020,"Circular 008 del 22 de marzo del 2020: “Nuevos lineamientos a seguir y tener en cuenta frente a la emergencia sanitaria generada por el COVID-19, y el aislamiento preventivo obligatorio.”"
11001-03-15-000-2020-00950-00,Lucy Jeannette Bermúdez Bermúdez,Departamento Administrativo Nacional de Estadística - DANE,Resolución 0423 del 17 de marzo del 2020,"Resolución 0423 del 17 de marzo del 2020: ""Por medio de la cual se suspende temporalmente la atención al público de manera presencial, los términos de algunos trámites administrativos y se dictan otras disposiciones"""
11001-03-15-000-2020-00951-00,Stella Jeannette Carvajal Basto,Departamento Administrativo Nacional de Estadística - DANE,Reslución 0436 del 19 de marzo del 2020,Resolución 0436 del 19 de marzo del 2020: “Por medio de la cual se amplían los términos de suspensión de la Resolución 0423 del 17 de marzo del 2020”
11001-03-15-000-2020-00952-00,Julio Roberto Piza Rodríguez (E),Departamento Administrativo Nacional de Estadística - DANE,Resolución 0438 del 19 de marzo del 2020,"Resolución 0438 del 19 de marzo del 2020: “Por medio de la cual se suspenden términos en los procesos disciplinarios del Departamento Administrativo Nacional de Estadística-DANE, como consecuencia de la emergencia sanitaria decretada por el Gobierno Nacional.”"
11001-03-15-000-2020-00953-00,Carlos Enrique Moreno Rubio,Departamento Administrativo Nacional de Estadística - DANE,Resolución 0445 del 23 de marzo del 2020,"Resolución 0445 del 23 de marzo del 2020: ""Por la cual se adoptan medidas para asegurar el funcionamiento de las actividades misionales esenciales del DANE en el marco del aislamiento preventivo ordenado por el Gobierno Nacional"""
11001-03-15-000-2020-00954-00,Marta Nubia Velásquez Rico,Fiscalía General de la Nación,Circular 007 del 17 de marzo del 2020,Circular 007 del 17 de marzo del 2020; “Protocolo general para la contención del brote infeccioso por COVID-19”
11001-03-15-000-2020-00955-00,Martín Bermúdez Muñoz,Fiscalía General de la Nación,Circular 009 del 19 de marzo del 2020,"Circular 009 del 19 de marzo del 2020: “Medidas adicionales para acompañar las instrucciones, actos y órdenes implementadas por el gobierno nacional y demás autoridades para la contención de la infección respiratoria aguda producida por el nuevo coronavirus COVID-19”"
11001-03-15-000-2020-00956-00,Ramiro Pazos Guerrero,Ministerio de Minas y Energía,Resolución 40101 del 19 de marzo del 2020,Resolución 40101 del 19 de marzo del 2020: “Por la cual se suspenden términos en la Jurisdicción Coactiva ejercida por el Ministerio de Minas y Energía con ocasión del COVID-19 y el compromiso del Gobierno Nacional de mitigar su propagación”
11001-03-15-000-2020-00957-00,Marta Nubia Velásquez Rico (E),"Ministerio de Comercio, Industria y Turismo",Decreto 434 del 19 de marzo del 2020,"Decreto 434 del 19 de marzo del 2020: “Por el cual se establecen plazos especiales para la renovación de la matrícula mercantil, el RUNEOL y los demás registros que integran el Registro Único Empresarial y Social RUES, así como para las reuniones ordinarias de las asambleas y demás cuerpos colegiados, para mitigar los efectos económicos del nuevo coronavirus COVID-19 en el territorio nacional”"
11001-03-15-000-2020-00958-00,Oswaldo Giraldo López,"Ministerio de Comercio, Industria y Turismo",Decreto 463 del22 de marzo del 2020,"Decreto 463 del 22 de marzo del 2020: “Por el cual se modifica parcialmente el arancel de aduanas para la importación de medicamentos, dispositivos médicos, reactivos químicos, artículos de higiene y aseo, insumos, equipos y materiales requeridos para el sector agua y saneamiento básico.”"
11001-03-15-000-2020-00959-00,Jaime Enrique Rodríguez Navas,Fondo Rotatorio de la Policía Nacional,Resolución 00120 del 19 de marzo del 2020,Resolución 00120 del 19 de marzo del 2020: “Por medio del cual se suspenden términos en las actuaciones administrativas adelantadas al interior del Fondo Rotatorio de la Policía”
11001-03-15-000-2020-00960-00,María Adriana Marín,Fiscalía General de la Nación,Resolución 000608 del 17 de marzo del 2020,Resolución 000608 del 17 de marzo del 2020: “Por medio de la cual se declara la urgencia manifiesta en la Fiscalía General de la Nación para la contratación de todos los bienes y servicios requeridos para conjurar la crisis que ha ocasionado la posible propagación del virus COVID-19”
11001-03-15-000-2020-00961-00,William Hernández Gómez,Instituto Geográfico Agustín Codazzi - IGAC,Resolución 320 del 18 de marzo del 2020,"Resolución 320 del 18 de marzo del 2020: “Por medio de la cual se establecen lineamientos para atender la Emergencia Económica, Social y Ecológica en todo el territorio Nacional y se adoptan medidas”"
11001-03-15-000-2020-00962-00,Alberto Montaña Plata,"Ministerio de Comercio, Industria y Turismo",Decreto 462 del 22 de marzo del 2020,"Decreto 462 del 22 de marzo del 2020: “Por el cual se prohíbe la exportación y la reexportación de productos necesarios para afrontar la emergencia sanitaria provocada por el coronavirus COVID-19, se dictan medidas sobre su distribución y venta en el mercado interno, y se adiciona el Decreto 410 de 2020”"
11001-03-15-000-2020-00963-00,César Palomino Cortés,Ministerio de Minas y Energía,Resolución 40100 del 19 de marzo del 2020,Resolución 40100 del 19 de marzo del 2020: “Por el cual se suspenden términos en los procesos disciplinarios adelantados por el Ministerio de Minas y Energía con ocasión del COVID-19 y el compromiso del Gobierno nacional de mitigar su propagación”
11001-03-15-000-2020-00964-00,Gabriel Valbuena Hernández,Superintendencia de Economía solidaria,Circular externa 11 del 19 de marzo del 2020,"Circular Externa 11 del 19 de marzo del 2020: “Instrucciones prudenciales en materia de cartera de créditos con el fin de mitigar los efectos derivados de la situación de emergencia económica, social y ecológica en todo el territorio nacional declarada por el gobierno nacional mediante el Decreto no. 417 de 17 de marzo de 2020.”"
11001-03-15-000-2020-00965-00,Nicolás Yepes Corrales,Superintendencia de Economía solidaria,Circular externa 12 del 19 de marzo del 2020,"Circular Externa 12 del 19 de marzo del 2020: “Instrucciones prudenciales relacionadas con la operación de las organizaciones, con el fin de mitigar los efectos derivados de la situación de emergencia económica, social y ecológica en todo el territorio nacional declarada por el gobierno nacional mediante el Decreto no. 417 de 17 de marzo de 2020”"
