NIT_Proveedor,Proveedor,Fecha_del_dia_de_trafico,Hora_Pico,Trafico_Datos_Internacional(GB),Trafico_Datos_NAPs-Colombia(GB),Trafico_Datos_Acuerdos_de_transito_o_peering_directo(GB),Trafico_Datos_Local(GB),Trafico_Datos_Total_Dia(GB)
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/03/30,22:00,2,773769,448194,0,20028913
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/03/31,23:00,3,713628,431314,0,19894796
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/01,22:00,5,762729,452316,0,20080309
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/02,22:00,3,775601,451724,0,20544937
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/03,22:00,2,783703,477037,0,21201448
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/04,22:00,1,840494,420247,0,21070991
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/05,22:00,1,823357,411679,0,20802559
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/06,22:00,2,740547,462842,0,20024865
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/07,22:00,2,750225,442549,0,19952565
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/08,22:00,2,776373,442402,0,20192315
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/09,22:00,2,813943,428391,0,20171967
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/10,22:00,2,886356,346011,0,20340282
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/11,22:00,1,806166,443605,0,20266295
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/12,22:00,1,763696,465569,0,20452551
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/13,22:00,1,763788,472821,0,20368855
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/14,22:00,2,753283,437955,0,19874796
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/15,22:00,3,749573,433279,0,19686818
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/16,22:00,4,7467,429138,0,19633849
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/17,22:00,2,773014,44562,0,19960544
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/18,22:00,4,804551,452288,0,20497628
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/19,22:00,3,788234,428388,0,20221058
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/20,22:00,3,751786,413482,0,19462648
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/21,22:00,3,752816,429548,0,19557463
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/22,22:00,4,752148,414536,0,19834496
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/23,22:00,7,757036,431335,0,19934426
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/24,22:00,4,78409,450626,0,20389718
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/25,22:00,4,81505,440568,0,2041395
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/26,22:00,3,781479,437972,0,20309567
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/27,22:00,3,759158,425462,0,19650413
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/28,22:00,4,768563,446839,0,20013587
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/29,22:00,4,753646,456494,0,20400734
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/04/30,22:00,2,800991,410979,0,20080811
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/05/01,22:00,3,802786,438278,0,20173881
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/05/02,22:00,4,808707,449762,0,20498551
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/05/03,22:00,3,787573,430772,0,20319013
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/05/04,22:00,2,770563,42381,0,19580544
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/05/05,22:00,3,735494,430113,0,19256838
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/05/06,22:00,3,756224,429571,0,19479017
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/05/07,22:00,3,741141,428405,0,19608688
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/05/08,22:00,2,735494,430113,0,19774356
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/05/09,22:00,3,762297,423498,0,19931246
830016046,AVANTEL S.A.S EN REORGANIZACION,2020/05/10,22:00,1,722993,446554,0,20397389
800153993,Comunicación Celular SA,2020/03/30,20:00,388503,67212,377964,999783,27083060
800153993,Comunicación Celular SA,2020/03/31,20:00,423059,67770,372816,946008,26709964
800153993,Comunicación Celular SA,2020/04/01,20:40,400781,54435,366988,857853,28033689
800153993,Comunicación Celular SA,2020/04/02,18:25,411184,62862,370828,855171,31153928
800153993,Comunicación Celular SA,2020/04/03,18:45,355088,61422,364965,1000814,33235650
800153993,Comunicación Celular SA,2020/04/04,18:50,410238,60301,266655,1047956,32569830
800153993,Comunicación Celular SA,2020/04/05,20:55,338206,59230,365971,1042011,33037055
800153993,Comunicación Celular SA,2020/04/06,18:30,328008,62291,369201,875156,31922276
800153993,Comunicación Celular SA,2020/04/07,18:40,361078,65862,384052,923490,31751676
800153993,Comunicación Celular SA,2020/04/08,19:00,371676,63305,389680,913084,32526441
800153993,Comunicación Celular SA,2020/04/09,19:15,367421,64380,384773,973068,32728959
800153993,Comunicación Celular SA,2020/04/10,19:45,352086,60811,382134,981990,32648017
800153993,Comunicación Celular SA,2020/04/11,21:30,341751,60989,369498,1046178,32170392
800153993,Comunicación Celular SA,2020/04/12,18:10,372571,61126,378799,1008653,31768578
800153993,Comunicación Celular SA,2020/04/13,18:50,339642,70234,365369,897359,29728205
800153993,Comunicación Celular SA,2020/04/14,18:45,337005,66823,409303,902367,30304959
800153993,Comunicación Celular SA,2020/04/15,19:50,350930,71129,397795,871061,31166711
800153993,Comunicación Celular SA,2020/04/16,18:40,387913,72260,395868,881906,31295587
800153993,Comunicación Celular SA,2020/04/17,18:45,348428,73528,402395,892577,31622668
800153993,Comunicación Celular SA,2020/04/18,20:50,359506,64415,390455,1014264,32637215
800153993,Comunicación Celular SA,2020/04/19,18:35,346516,70182,379504,976914,32321001
800153993,Comunicación Celular SA,2020/04/20,18:40,320959,70120,393180,834863,30473729
800153993,Comunicación Celular SA,2020/04/21,18:55,340748,68706,407075,851153,30714169
800153993,Comunicación Celular SA,2020/04/22,18:55,350626,69085,411908,852858,30952521
800153993,Comunicación Celular SA,2020/04/23,19:20,358583,70270,409849,842592,30940891
800153993,Comunicación Celular SA,2020/04/24,18:30,343700,68107,409997,884079,31789028
800153993,Comunicación Celular SA,2020/04/25,21:00,359419,68412,388481,1011232,33207796
800153993,Comunicación Celular SA,2020/04/26,18:25,342692,68113,390289,1000332,32525392
800153993,Comunicación Celular SA,2020/04/27,18:30,317941,69307,394266,838383,30375899
800153993,Comunicación Celular SA,2020/04/28,19:40,349149,67564,393478,841958,30550888
800153993,Comunicación Celular SA,2020/04/29,18:35,397749,71495,412659,850221,31837030
800153993,Comunicación Celular SA,2020/04/30,19:25,385036,63700,406788,843961,31735837
800153993,Comunicación Celular SA,2020/05/01,20:25,362157,67430,434452,949298,33271141
800153993,Comunicación Celular SA,2020/05/02,20:15,355299,62912,410189,954752,32963482
800153993,Comunicación Celular SA,2020/05/03,18:30,344980,65343,394230,976096,32699060
800153993,Comunicación Celular SA,2020/05/04,19:35,311703,72468,406240,813644,29708926
800153993,Comunicación Celular SA,2020/05/05,19:10,346401,75108,404665,817106,30494371
800153993,Comunicación Celular SA,2020/05/06,19:25,332439,72905,420324,796239,30504760
800153993,Comunicación Celular SA,2020/05/07,19:40,338712,76485,419878,816354,30442826
800153993,Comunicación Celular SA,2020/05/08,20:25,349392,77101,418107,840375,31507589
800153993,Comunicación Celular SA,2020/05/09,21:30,336535,72894,410333,970785,32526610
800153993,Comunicación Celular SA,2020/05/10,20:50,313842,71008,407652,937042,31655931
830114921,COLOMBIA MOVIL,2020/03/30,20:00,0,0,38498,0,584420
830114921,COLOMBIA MOVIL,2020/03/31,20:00,0,0,38493,0,583922
830114921,COLOMBIA MOVIL,2020/04/01,20:00,0,0,38249,0,580712
830114921,COLOMBIA MOVIL,2020/04/02,20:00,0,0,38537,0,588082
830114921,COLOMBIA MOVIL,2020/04/03,20:00,0,0,38706,0,592404
830114921,COLOMBIA MOVIL,2020/04/04,20:00,0,0,38246,0,590129
830114921,COLOMBIA MOVIL,2020/04/05,20:00,0,0,36398,0,573850
830114921,COLOMBIA MOVIL,2020/04/06,20:00,0,0,34749,0,549294
830114921,COLOMBIA MOVIL,2020/04/07,19:00,0,0,35747,0,555706
830114921,COLOMBIA MOVIL,2020/04/08,20:00,0,0,35810,0,562021
830114921,COLOMBIA MOVIL,2020/04/09,19:00,0,0,35941,0,548937
830114921,COLOMBIA MOVIL,2020/04/10,19:00,0,0,34793,0,544757
830114921,COLOMBIA MOVIL,2020/04/11,20:00,0,0,35313,0,548131
830114921,COLOMBIA MOVIL,2020/04/12,18:00,0,0,34405,0,548716
830114921,COLOMBIA MOVIL,2020/04/13,20:00,0,0,33785,0,528974
830114921,COLOMBIA MOVIL,2020/04/14,19:00,0,0,34601,0,546833
830114921,COLOMBIA MOVIL,2020/04/15,19:00,0,0,34917,0,541070
830114921,COLOMBIA MOVIL,2020/04/16,19:00,0,0,35042,0,542724
830114921,COLOMBIA MOVIL,2020/04/17,20:00,0,0,35118,0,551423
830114921,COLOMBIA MOVIL,2020/04/18,20:00,0,0,35894,0,562135
830114921,COLOMBIA MOVIL,2020/04/19,20:00,0,0,34345,0,548586
